subject,body,category,priority,channel
Can't get past the verification step,"I'm writing to urgently request help. I'm stuck in a login loop. Every time I authenticate, it brings me right back to the sign-in page.",Login Issue,High,Email
Please don't auto-renew my subscription,Please treat this as a high priority. I want to cancel our annual plan. We're 4 months in. Please advise on the cancellation process. Thanks.,Subscription Cancellation,High,Chat
Refund owed from last month,This is the third time I'm reaching out about this. Billing charged me for an account I already closed. Need this refunded urgently.,Refund Request,Medium,Email
Attachment upload stuck at 99%,I'm very disappointed with the service. The dropdown in the user settings panel disappears the moment I click it. I can't select anything. I expect to hear back within 24 hours.,Bug Report,Medium,Web Form
Account accessed from another country,Your login logs show access from a foreign country at 3am. That was not me. Please freeze my account. Best.,Security Concern,High,Social Media
I no longer need this service,Following up again as I haven't heard back. The pricing has gone up significantly and it's no longer within our budget. Please cancel.,Subscription Cancellation,Medium,Phone
Data not loading correctly,This is the third time I'm reaching out about this. The submit button on the contact form doesn't work. I've clicked it multiple times and nothing happens. I appreciate your help.,Bug Report,Medium,Chat
Payment confirmation email never arrived,My bank says the payment cleared but your system still shows my account as past due.,Payment Problem,High,Social Media
Please confirm my cancellation,I'm very disappointed with the service. I've decided to stop using your service. Please cancel my account and stop all future billing. Best.,Subscription Cancellation,Medium,Chat
Dark mode glitches in settings,Honestly this is really frustrating. The search bar returns completely irrelevant results. If I search for 'invoice' I get random user profile pages.,Bug Report,Medium,Chat
How do I cancel before next billing?,I hope you can assist me quickly. I'm submitting this on behalf of our company. Please cancel all seats on our organization account.,Subscription Cancellation,Medium,Chat
Report generation fails every time,The sync between my desktop app and mobile keeps failing with error E-7548. Data is out of sync.,Bug Report,Medium,Phone
Authentication error on sign in,Following up again as I haven't heard back. I sign in successfully and then immediately get logged out again. This has been happening all day. Thank you for your time.,Login Issue,High,Email
Double billed this month,Please treat this as a high priority. I never received the product I paid for. Please issue a full refund as soon as possible. Thank you for your time.,Refund Request,Medium,Web Form
Cannot load any page – timeout errors,Our video conferencing feature buffers every 30 seconds. It's making calls completely unusable.,Performance Issue,Medium,Social Media
Pages lagging and timing out,The mobile app is freezing and lagging constantly. Tapping buttons takes 3-4 seconds to register. I expect to hear back within 24 hours.,Performance Issue,Medium,Chat
Urgent: security breach on my organization account,I've been receiving phishing emails that look like they come from your company. You may have a spoofing issue. Thanks.,Security Concern,Urgent,Phone
Cancel my trial before it converts,I've been a loyal customer and this is unacceptable. I'd like to cancel my subscription effective immediately. Please confirm this has been done. Regards.,Subscription Cancellation,Medium,Email
Platform down or extremely slow?,Thanks in advance for your help. Something is wrong this morning. Nothing loads in under 30 seconds.,Performance Issue,Medium,Chat
Dashboard takes minutes to load,"This used to be a fast, snappy tool. Now every interaction has a noticeable delay. Please fix this.",Performance Issue,Medium,Email
Unable to sign in after password change,Thanks in advance for your help. My account was suddenly disabled. I didn't violate any terms. Please tell me what happened and restore access. Please respond ASAP.,Login Issue,Urgent,Phone
Add ability to schedule reports,Two-way sync with Google Sheets would save our ops team hours every week. Please consider adding it.,Feature Request,Low,Email
Refund owed from last month,I'd appreciate a quick response. Billing charged me for an account I already closed. Need this refunded urgently. Please respond ASAP.,Refund Request,High,Web Form
App is extremely slow today,I'm writing to urgently request help. Performance has noticeably declined since the update you pushed two days ago. Everything feels sluggish.,Performance Issue,Medium,Email
Mobile app crashes on iOS 17,Thanks in advance for your help. I've been trying to upload a 5MB attachment for 20 minutes. It gets to 99% and just hangs forever. Looking forward to a resolution.,Bug Report,High,Web Form
Password reset link not working,Honestly this is really frustrating. Our entire team uses SSO through Okta and it stopped working this morning. We can't access anything. Thanks.,Login Issue,Urgent,Chat
Dropdown menu disappears on click,Please treat this as a high priority. Every time I submit the onboarding form I get a 500 internal server error. I've tried three different browsers.,Bug Report,High,Chat
Switching to a competitor – please cancel,Thanks in advance for your help. Please disable auto-renewal on my account. I want the service to end at the current period. I appreciate your help.,Subscription Cancellation,Medium,Chat
Bank shows charge but account not activated,I've been a loyal customer and this is unacceptable. My autopay failed this month even though my card is valid and hasn't expired. Now I'm getting overdue notices. Thanks.,Payment Problem,High,Email
My API key may be compromised,I can access another user's private data through a URL parameter change. This is a serious vulnerability.,Security Concern,Urgent,Web Form
Unauthorized access to my account,This is the third time I'm reaching out about this. I discovered what appears to be a SQL injection vulnerability in your search parameter. Please fix it urgently.,Security Concern,High,Web Form
Feature idea: team collaboration view,I'm writing to urgently request help. Scheduled reports that are automatically emailed on a set cadence would save our team a lot of manual work. Thanks.,Feature Request,Low,Email
Where is my refund?,I'm not sure who to contact so I'm trying here. I see two identical charges from your company on my bank statement. Please refund the extra one immediately. Regards.,Refund Request,High,Email
Account locked after too many attempts,I sign in successfully and then immediately get logged out again. This has been happening all day. Regards.,Login Issue,High,Chat
Payment confirmation email never arrived,Following up again as I haven't heard back. I paid via bank transfer three days ago but my account still shows as unpaid. Please reconcile this. Thanks.,Payment Problem,High,Email
Add ability to schedule reports,I'd appreciate a quick response. We'd love a native desktop app for Mac and Windows. The web app is good but a desktop version would be better. I expect to hear back within 24 hours.,Feature Request,Low,Chat
I want to cancel my subscription,The features we were promised during sales haven't been delivered. That's why we're cancelling.,Subscription Cancellation,Medium,Chat
Login error on mobile app,Thanks in advance for your help. The magic link login emails aren't arriving. I've checked my spam folder and there's nothing there. Regards.,Login Issue,High,Email
Unable to complete checkout,My card was declined even though I have sufficient funds and the card is active. Please help.,Payment Problem,High,Email
I think my account was hacked,I hope you can assist me quickly. Our security team flagged several issues with your platform during an audit. Please contact our CISO. Looking forward to a resolution.,Security Concern,Urgent,Chat
I never wanted to renew – please cancel,I'm not sure who to contact so I'm trying here. I'm on a free trial and want to cancel before it converts to a paid plan at the end of the week. Regards.,Subscription Cancellation,High,Email
Add ability to schedule reports,We'd love a native desktop app for Mac and Windows. The web app is good but a desktop version would be better.,Feature Request,Low,Chat
Team account cancellation request,I hope you can assist me quickly. I can't find the cancel button in my account settings. Can you cancel it from your end?,Subscription Cancellation,Medium,Web Form
Please process my refund immediately,I'm not sure who to contact so I'm trying here. I am entitled to a refund under your 30-day guarantee. Please initiate the process.,Refund Request,High,Phone
Request for API rate limit increase,Please treat this as a high priority. We need role-based access control so we can limit what different team members can see and edit. Looking forward to a resolution.,Feature Request,Medium,Chat
Switching to a competitor – please cancel,I want to cancel and receive a prorated refund for the unused portion of my subscription. Thank you for your time.,Subscription Cancellation,High,Web Form
Transaction failed – money missing from account,The invoice I received shows $149 but my plan should only be $9 per month. Please correct this. Regards.,Payment Problem,Medium,Email
How do I cancel before next billing?,I'm not sure who to contact so I'm trying here. Our entire team is leaving the platform. Please cancel all accounts under our organization domain. I expect to hear back within 24 hours.,Subscription Cancellation,High,Chat
Unable to sign in after password change,"Please treat this as a high priority. My account seems to be locked. I've only entered my password incorrectly twice, not ten times.",Login Issue,High,Phone
Session keeps expiring immediately,Honestly this is really frustrating. I've tried every browser and cleared cache and cookies but still cannot sign in to my account. I appreciate your help.,Login Issue,High,Chat
Refund for duplicate charge,Honestly this is really frustrating. My team was billed after we switched to the free tier. That billing is incorrect and I need it reversed.,Refund Request,Medium,Email
Security vulnerability found in your app,I received an alert that someone logged into my account from a location I don't recognize. Please lock it immediately. Best.,Security Concern,High,Web Form
My payment method isn't being accepted,This is the third time I'm reaching out about this. Your checkout page is broken on mobile. It spins forever after I hit submit but never confirms the payment. Please respond ASAP.,Payment Problem,Urgent,Web Form
Closing my account – cancellation request,Thanks in advance for your help. I'd like to cancel my subscription effective immediately. Please confirm this has been done. Regards.,Subscription Cancellation,Medium,Web Form
Promo code not applied to invoice,Honestly this is really frustrating. I can't add my new Visa card to the billing section. The form keeps rejecting it. I appreciate your help.,Payment Problem,High,Web Form
Feature request: role-based access control,I'd appreciate a quick response. Please add Zapier integration. We want to connect your platform to several other tools we use. Thanks.,Feature Request,Low,Email
Double billed this month,Honestly this is really frustrating. I was overcharged by $29 compared to my plan price. Please refund the difference.,Refund Request,Medium,Email
App freezes when opening large files,The search bar returns completely irrelevant results. If I search for 'invoice' I get random user profile pages. Looking forward to a resolution.,Bug Report,Medium,Chat
Refund not received after 2 weeks,I asked for a refund last week via chat but the agent said someone would follow up. No one has. Please act now.,Refund Request,High,Email
Response time has tripled,Thanks in advance for your help. The mobile app is freezing and lagging constantly. Tapping buttons takes 3-4 seconds to register. Looking forward to a resolution.,Performance Issue,High,Phone
I no longer need this service,I'd appreciate a quick response. We are terminating our enterprise agreement. Please connect us with our account manager to finalize. Best.,Subscription Cancellation,Medium,Email
High latency in your service,Following up again as I haven't heard back. The whole platform has ground to a halt. Clicking anything results in a spinning loader that never resolves. Thanks.,Performance Issue,High,Email
Please add two-way sync with Google Sheets,Honestly this is really frustrating. Offline mode for the mobile app would be a huge improvement. We often work in areas with poor connectivity. Thanks.,Feature Request,Medium,Email
Export function is broken,The iOS app crashes immediately after the splash screen on iPhone 15 running iOS 17.4.,Bug Report,High,Phone
Please add two-way sync with Google Sheets,We need role-based access control so we can limit what different team members can see and edit. I expect to hear back within 24 hours.,Feature Request,Low,Chat
Closing my account – cancellation request,We are terminating our enterprise agreement. Please connect us with our account manager to finalize. Thank you for your time.,Subscription Cancellation,Medium,Chat
Slow load times affecting our team productivity,I'm not sure who to contact so I'm trying here. Is there a known outage? The platform has been nearly inaccessible for the past two hours.,Performance Issue,Medium,Chat
Cannot load any page – timeout errors,I've been a loyal customer and this is unacceptable. We're losing productivity because of these slow load times. Our entire workflow runs through your platform.,Performance Issue,Medium,Phone
XSS vulnerability in your web app,I'm not sure who to contact so I'm trying here. I received an alert that someone logged into my account from a location I don't recognize. Please lock it immediately. Looking forward to a resolution.,Security Concern,Urgent,Social Media
Suggestion for improved search filters,An audit log showing who made what changes is important for our compliance requirements. Please add this. Regards.,Feature Request,Low,Email
Refund for duplicate charge,Please treat this as a high priority. I want a reimbursement for the subscription that was auto-renewed without my consent. Looking forward to a resolution.,Refund Request,Medium,Chat
Charts not rendering in dashboard,"I'm writing to urgently request help. After applying a filter, the wrong records appear. It seems like the filter logic is completely reversed. Please respond ASAP.",Bug Report,Medium,Email
Form submission throws an error,I'd appreciate a quick response. All charts on my analytics page show as blank rectangles. They were working fine yesterday.,Bug Report,Medium,Web Form
Notifications not appearing,"In dark mode, all the text in the Settings section becomes invisible — black text on dark background. Thanks.",Bug Report,Medium,Email
Refund status inquiry,I've been a loyal customer and this is unacceptable. My team was billed after we switched to the free tier. That billing is incorrect and I need it reversed.,Refund Request,High,Chat
Double billed this month,I have been waiting 10 days for my refund. Can someone tell me when it will hit my account? Looking forward to a resolution.,Refund Request,High,Social Media
Form submission throws an error,Following up again as I haven't heard back. I'm not getting any push notifications even though they're turned on in settings. Other users are getting them fine. I appreciate your help.,Bug Report,High,Email
Reimbursement for unused subscription days,Thanks in advance for your help. My refund of $49 was supposed to post within 5 business days. It's been 9. Please investigate. Thanks.,Refund Request,Medium,Chat
Wrong data displayed after filter,"This is the third time I'm reaching out about this. In dark mode, all the text in the Settings section becomes invisible — black text on dark background.",Bug Report,High,Phone
Credit card declined incorrectly,I'm writing to urgently request help. I updated my card details last week but you're still charging the old card which is now expired.,Payment Problem,Urgent,Chat
Data breach concern – please investigate,I didn't log in today but my account shows a session active in a different country. Please investigate. Thanks.,Security Concern,High,Email
Refund status inquiry,Following up again as I haven't heard back. I noticed a charge on my card that I did not authorize. I want the amount refunded right away. I expect to hear back within 24 hours.,Refund Request,High,Phone
Cannot access account – urgent,The magic link login emails aren't arriving. I've checked my spam folder and there's nothing there. Thank you for your time.,Login Issue,Urgent,Email
How do I cancel before next billing?,I'd like to cancel my subscription effective immediately. Please confirm this has been done.,Subscription Cancellation,Medium,Email
Please add two-way sync with Google Sheets,I've been a loyal customer and this is unacceptable. Our team would benefit from a shared view where we can see who is working on what in real time.,Feature Request,Medium,Phone
App performance degraded since last update,Uploading a 2MB file is taking over 10 minutes. Our internet connection is fine — the issue is on your end. Thanks.,Performance Issue,Medium,Chat
Export function is broken,I'd appreciate a quick response. The app crashes every time I open it on my laptop. I haven't changed anything. Error: 1864.,Bug Report,Medium,Chat
Response time has tripled,I'm not sure who to contact so I'm trying here. The application has been incredibly slow all morning. Every action takes 10+ seconds to complete. Thank you for your time.,Performance Issue,Medium,Web Form
Suspicious login from unknown location,I received an alert that someone logged into my account from a location I don't recognize. Please lock it immediately. Best.,Security Concern,High,Chat
Data sync is delayed by hours,Performance has noticeably declined since the update you pushed two days ago. Everything feels sluggish. Thank you for your time.,Performance Issue,Medium,Chat
Magic link login not arriving,"I'm stuck in a login loop. Every time I authenticate, it brings me right back to the sign-in page. I appreciate your help.",Login Issue,High,Email
Cannot log into my account,I'm not sure who to contact so I'm trying here. Our company's IT team changed our email domain and now none of us can log in. We need urgent help. I expect to hear back within 24 hours.,Login Issue,High,Email
Suspicious login from unknown location,Honestly this is really frustrating. Your login logs show access from a foreign country at 3am. That was not me. Please freeze my account.,Security Concern,Urgent,Email
Charged in wrong currency,Following up again as I haven't heard back. The invoice I received shows $29 but my plan should only be $29 per month. Please correct this.,Payment Problem,Medium,Phone
Dropdown menu disappears on click,My dashboard data is completely blank even though I can see records in the backend. Something is broken.,Bug Report,Medium,Phone
Reports taking too long to generate,Please treat this as a high priority. The search function is very slow. It takes up to 15 seconds to return results for a simple query. Thank you for your time.,Performance Issue,Medium,Email
My API key may be compromised,I've been a loyal customer and this is unacceptable. There are two unfamiliar devices listed in my active sessions. I don't own those devices. Please remove them. Please respond ASAP.,Security Concern,High,Chat
App freezes when opening large files,"I'm writing to urgently request help. The CSV export feature stopped working. When I click Export, the page just refreshes with no file downloaded. Best.",Bug Report,Medium,Web Form
Cancelling due to high pricing,I'm not sure who to contact so I'm trying here. I want to cancel and receive a prorated refund for the unused portion of my subscription. Best.,Subscription Cancellation,High,Phone
Please process my refund immediately,I'm not sure who to contact so I'm trying here. My team was billed after we switched to the free tier. That billing is incorrect and I need it reversed.,Refund Request,Medium,Email
Please add two-way sync with Google Sheets,Honestly this is really frustrating. It would be great if the platform could sync with Google Calendar. Right now we manage schedules separately.,Feature Request,Medium,Email
Cancelling because features I need are missing,I'm writing to urgently request help. We are terminating our enterprise agreement. Please connect us with our account manager to finalize. Thank you for your time.,Subscription Cancellation,Medium,Email
Downgrading and cancelling add-ons,Following up again as I haven't heard back. I want to cancel our annual plan. We're 4 months in. Please advise on the cancellation process. Thank you for your time.,Subscription Cancellation,High,Web Form
I found exposed user data in your app,Please treat this as a high priority. I didn't log in today but my account shows a session active in a different country. Please investigate. Regards.,Security Concern,Urgent,Chat
Team account cancellation request,I'm very disappointed with the service. The pricing has gone up significantly and it's no longer within our budget. Please cancel. Regards.,Subscription Cancellation,Medium,Email
Cannot update my payment information,I'm very disappointed with the service. I cancelled before the billing date but was still charged. Please remove the charge.,Payment Problem,High,Email
Pages lagging and timing out,Thanks in advance for your help. Our video conferencing feature buffers every 30 seconds. It's making calls completely unusable. Best.,Performance Issue,Medium,Chat
Where is my refund?,"I'm not sure who to contact so I'm trying here. Hello, I need help getting a refund for an accidental purchase I made this morning. Order number 265649.",Refund Request,High,Web Form
Closing my account – cancellation request,Thanks in advance for your help. We've completed the project this subscription was for and no longer need the service. Looking forward to a resolution.,Subscription Cancellation,Medium,Phone
Data sync is delayed by hours,Your platform seems overloaded during peak hours (9am–11am). We can barely use it. I expect to hear back within 24 hours.,Performance Issue,High,Email
Please add keyboard shortcuts,This is the third time I'm reaching out about this. Offline mode for the mobile app would be a huge improvement. We often work in areas with poor connectivity. Regards.,Feature Request,Low,Chat
Team account cancellation request,I've been a loyal customer and this is unacceptable. I've decided to stop using your service. Please cancel my account and stop all future billing.,Subscription Cancellation,Medium,Chat
Browser extension crashing,Following up again as I haven't heard back. The submit button on the contact form doesn't work. I've clicked it multiple times and nothing happens. Best.,Bug Report,Medium,Chat
Switching to a competitor – please cancel,I'm not sure who to contact so I'm trying here. I've decided to stop using your service. Please cancel my account and stop all future billing. Regards.,Subscription Cancellation,High,Chat
High latency in your service,The search function is very slow. It takes up to 15 seconds to return results for a simple query. I expect to hear back within 24 hours.,Performance Issue,Medium,Email
I want to cancel my subscription,I'm writing to urgently request help. Our entire team is leaving the platform. Please cancel all accounts under our organization domain.,Subscription Cancellation,High,Social Media
Please process my refund immediately,Requesting refund for services not rendered. The feature I paid for was unavailable throughout the month. Thank you for your time.,Refund Request,High,Social Media
Security vulnerability found in your app,I accidentally exposed my API key in a public repo. Please revoke it immediately and issue a new one. Thanks.,Security Concern,Urgent,Chat
Security audit raised concerns about your platform,Please treat this as a high priority. I've been receiving phishing emails that look like they come from your company. You may have a spoofing issue.,Security Concern,High,Email
Refund owed from last month,This is the third time I'm reaching out about this. I purchased the wrong plan by mistake and I'd like a full refund. I cancelled within 30 minutes but haven't heard back. I appreciate your help.,Refund Request,High,Email
Sign-in loop – keeps redirecting to login,I hope you can assist me quickly. My account was suddenly disabled. I didn't violate any terms. Please tell me what happened and restore access. Thanks.,Login Issue,High,Web Form
Overcharged and want my money back,I'm writing to urgently request help. I have been waiting 10 days for my refund. Can someone tell me when it will hit my account? Looking forward to a resolution.,Refund Request,Medium,Chat
Downgrading and cancelling add-ons,Following up again as I haven't heard back. We've decided to switch to an alternative solution. Please cancel our subscription immediately. Thank you for your time.,Subscription Cancellation,High,Email
Cannot add new card to my account,Following up again as I haven't heard back. Two charges appeared on my credit card for the same transaction date. Only one should have processed. Thank you for your time.,Payment Problem,Urgent,Chat
Data not loading correctly,"I'd appreciate a quick response. After applying a filter, the wrong records appear. It seems like the filter logic is completely reversed. Thanks.",Bug Report,High,Email
Team account cancellation request,I hope you can assist me quickly. I submitted a cancellation request last week but haven't received confirmation. Please confirm.,Subscription Cancellation,Medium,Phone
Everything delayed since this morning,I'm writing to urgently request help. Something is wrong this morning. Nothing loads in under 30 seconds. I appreciate your help.,Performance Issue,Medium,Web Form
Charged in wrong currency,I hope you can assist me quickly. The promo code I applied during checkout doesn't appear on my invoice. I'm being charged the full price.,Payment Problem,Medium,Social Media
Cancel my annual plan,Our entire team is leaving the platform. Please cancel all accounts under our organization domain. Please respond ASAP.,Subscription Cancellation,High,Email
Cancel my trial before it converts,I can't find the cancel button in my account settings. Can you cancel it from your end? Thank you for your time.,Subscription Cancellation,Medium,Web Form
Cancel my trial before it converts,I'm very disappointed with the service. We are terminating our enterprise agreement. Please connect us with our account manager to finalize. Thanks.,Subscription Cancellation,High,Email
I found exposed user data in your app,Urgent: our entire organization account appears to have been accessed by an unknown party. Please escalate. I appreciate your help.,Security Concern,High,Email
Cannot update my payment information,I've been a loyal customer and this is unacceptable. I've been on hold for payment support for 40 minutes. This is beyond frustrating. Please fix the billing error. Looking forward to a resolution.,Payment Problem,Medium,Web Form
XSS vulnerability in your web app,I'm not sure who to contact so I'm trying here. I'm concerned my personal data may have been exposed. I received an email suggesting there was a breach.,Security Concern,High,Social Media
Data not loading correctly,Honestly this is really frustrating. I'm not getting any push notifications even though they're turned on in settings. Other users are getting them fine.,Bug Report,High,Web Form
Suggestion: offline mode for mobile,Following up again as I haven't heard back. We share the portal with clients and need our own branding on it. White-labeling would be very valuable.,Feature Request,Medium,Email
Accidental purchase – please refund,Duplicate payment happened during checkout. One charge needs to be returned immediately.,Refund Request,High,Web Form
Pages lagging and timing out,I'd appreciate a quick response. Generating a basic report that used to take 5 seconds now takes 4 minutes. What changed? I expect to hear back within 24 hours.,Performance Issue,Medium,Email
Search results showing wrong items,I'm very disappointed with the service. The search bar returns completely irrelevant results. If I search for 'invoice' I get random user profile pages. Thank you for your time.,Bug Report,High,Phone
Unable to reset my password,This is the third time I'm reaching out about this. I've tried every browser and cleared cache and cookies but still cannot sign in to my account. Looking forward to a resolution.,Login Issue,High,Web Form
Locked out of my account,Following up again as I haven't heard back. My account was suddenly disabled. I didn't violate any terms. Please tell me what happened and restore access. Best.,Login Issue,Urgent,Web Form
Security audit raised concerns about your platform,I'd appreciate a quick response. I didn't log in today but my account shows a session active in a different country. Please investigate.,Security Concern,Urgent,Phone
Browser extension crashing,I've been a loyal customer and this is unacceptable. All charts on my analytics page show as blank rectangles. They were working fine yesterday.,Bug Report,Medium,Web Form
Two-factor authentication code not arriving,The verification email for new device login is not coming through. I need access right now. Please respond ASAP.,Login Issue,High,Web Form
Request for reimbursement on cancelled order,Thanks in advance for your help. I want a reimbursement for the subscription that was auto-renewed without my consent.,Refund Request,Medium,Email
Requesting refund for order #178693,Honestly this is really frustrating. It's been two weeks since I requested a refund and there's been no update. This is unacceptable. Please escalate. Best.,Refund Request,High,Email
Please add webhook support,I've been a loyal customer and this is unacceptable. We operate in multiple countries. Multi-language support is critical for us — especially Spanish and French. Regards.,Feature Request,Medium,Chat
SSO login broken for our organization,Honestly this is really frustrating. I can sign in on the website but the iOS app keeps rejecting my credentials even though they're the same. Thank you for your time.,Login Issue,Urgent,Chat
Promo code not applied to invoice,I'm very disappointed with the service. My card was declined even though I have sufficient funds and the card is active. Please help.,Payment Problem,Medium,Web Form
API response times are unacceptable,Following up again as I haven't heard back. The whole platform has ground to a halt. Clicking anything results in a spinning loader that never resolves. Thanks.,Performance Issue,High,Email
Response time has tripled,Performance has noticeably declined since the update you pushed two days ago. Everything feels sluggish. Regards.,Performance Issue,Medium,Social Media
Dark mode glitches in settings,All charts on my analytics page show as blank rectangles. They were working fine yesterday. I expect to hear back within 24 hours.,Bug Report,Medium,Chat
Feature idea: team collaboration view,Keyboard shortcuts would massively improve our workflow. Even basic ones like save or navigate tabs. Regards.,Feature Request,Medium,Phone
Your servers seem overloaded today,"This used to be a fast, snappy tool. Now every interaction has a noticeable delay. Please fix this. I appreciate your help.",Performance Issue,Medium,Web Form
Still waiting on my refund,This is the third time I'm reaching out about this. I have been waiting 10 days for my refund. Can someone tell me when it will hit my account? Looking forward to a resolution.,Refund Request,High,Email
XSS vulnerability in your web app,Following up again as I haven't heard back. I received an alert that someone logged into my account from a location I don't recognize. Please lock it immediately. I appreciate your help.,Security Concern,High,Social Media
App performance degraded since last update,The whole platform has ground to a halt. Clicking anything results in a spinning loader that never resolves. Best.,Performance Issue,High,Phone
Cancelling due to high pricing,I hope you can assist me quickly. I want to cancel and receive a prorated refund for the unused portion of my subscription.,Subscription Cancellation,Medium,Email
Please cancel my account,Honestly this is really frustrating. We've completed the project this subscription was for and no longer need the service. Thank you for your time.,Subscription Cancellation,High,Phone
Money deducted twice – need it back,I've been a loyal customer and this is unacceptable. I purchased the wrong plan by mistake and I'd like a full refund. I cancelled within 30 minutes but haven't heard back. Looking forward to a resolution.,Refund Request,High,Chat
I want to cancel my subscription,I'm not sure who to contact so I'm trying here. I'd like to cancel my subscription effective immediately. Please confirm this has been done. Thanks.,Subscription Cancellation,High,Email
Account accessed from another country,Thanks in advance for your help. Someone changed the email address on my account without my permission. I need this reversed immediately. Please respond ASAP.,Security Concern,High,Chat
Images not uploading properly,"This is the third time I'm reaching out about this. Whenever I try to save my project settings, I get an error message and nothing saves. Please respond ASAP.",Bug Report,Medium,Web Form
Your servers seem overloaded today,This is the third time I'm reaching out about this. Is there a known outage? The platform has been nearly inaccessible for the past two hours. Regards.,Performance Issue,Medium,Web Form
Team account cancellation request,I'd appreciate a quick response. The subscription renewed without me realizing it. I want it cancelled and the charge reversed. Regards.,Subscription Cancellation,High,Social Media
Locked out of my account,This is the third time I'm reaching out about this. The verification email for new device login is not coming through. I need access right now. I appreciate your help.,Login Issue,Urgent,Chat
Please don't auto-renew my subscription,Following up again as I haven't heard back. My renewal is coming up in 3 days. Please cancel before then so I'm not charged again.,Subscription Cancellation,High,Chat
Platform lagging during peak hours,The mobile app is freezing and lagging constantly. Tapping buttons takes 3-4 seconds to register. I appreciate your help.,Performance Issue,Medium,Email
App performance degraded since last update,"This is the third time I'm reaching out about this. This used to be a fast, snappy tool. Now every interaction has a noticeable delay. Please fix this.",Performance Issue,High,Email
Can you add calendar integration?,I hope you can assist me quickly. We'd love the ability to create custom reports with our own fields rather than just the preset ones. Thanks.,Feature Request,Low,Email
Cannot access account – urgent,"I hope you can assist me quickly. Every time I hit sign in, the page just refreshes and I end up back at the login screen. Nothing happens.",Login Issue,High,Web Form
Slow load times affecting our team productivity,Generating a basic report that used to take 5 seconds now takes 4 minutes. What changed?,Performance Issue,High,Web Form
Wrong data displayed after filter,"I've been a loyal customer and this is unacceptable. After applying a filter, the wrong records appear. It seems like the filter logic is completely reversed. Best.",Bug Report,High,Chat
Billing cycle confusion – wrong amount charged,Honestly this is really frustrating. Your payment page gave me an error code 8758 during checkout. I can't complete my purchase. Best.,Payment Problem,Urgent,Web Form
File uploads are painfully slow,I'm not sure who to contact so I'm trying here. The whole platform has ground to a halt. Clicking anything results in a spinning loader that never resolves. I expect to hear back within 24 hours.,Performance Issue,Medium,Email
My API key may be compromised,I'd appreciate a quick response. I believe my account was hacked. My profile info was changed and I didn't do it. Please help urgently. Thanks.,Security Concern,Urgent,Phone
PDF export has missing content,Your Chrome extension crashes my browser every time I try to use the text capture feature.,Bug Report,Medium,Email
Reimbursement request – billing error,Please treat this as a high priority. I never received the product I paid for. Please issue a full refund as soon as possible. Thank you for your time.,Refund Request,High,Email
SSO login broken for our organization,"I'm very disappointed with the service. After changing my password, the system still won't let me access my account. It keeps saying invalid credentials.",Login Issue,High,Web Form
Would love a custom reporting feature,Following up again as I haven't heard back. Scheduled reports that are automatically emailed on a set cadence would save our team a lot of manual work. Please respond ASAP.,Feature Request,Low,Chat
Cancel and refund remaining days,I'm very disappointed with the service. I want to remove the premium add-ons from my plan and cancel the main subscription as well.,Subscription Cancellation,Medium,Phone
Error when saving changes,"I'm writing to urgently request help. After applying a filter, the wrong records appear. It seems like the filter logic is completely reversed. Please respond ASAP.",Bug Report,High,Chat
Someone changed my account email without permission,I'm not sure who to contact so I'm trying here. I believe my account was hacked. My profile info was changed and I didn't do it. Please help urgently. Thank you for your time.,Security Concern,Urgent,Chat
Images not uploading properly,"Following up again as I haven't heard back. Whenever I try to save my project settings, I get an error message and nothing saves.",Bug Report,High,Email
Data not loading correctly,Please treat this as a high priority. The sync between my desktop app and mobile keeps failing with error E-4399. Data is out of sync.,Bug Report,High,Web Form
Login page keeps refreshing without signing me in,Please treat this as a high priority. I tried to log in using my Google account but I get an error that says the OAuth request failed.,Login Issue,High,Phone
Suggestion: offline mode for mobile,Our integration needs higher API rate limits. Is there a plan option that allows more requests per minute? I appreciate your help.,Feature Request,Medium,Email
Money deducted twice – need it back,This is the third time I'm reaching out about this. My team was billed after we switched to the free tier. That billing is incorrect and I need it reversed. Please respond ASAP.,Refund Request,High,Social Media
Dark mode glitches in settings,"Please treat this as a high priority. The CSV export feature stopped working. When I click Export, the page just refreshes with no file downloaded.",Bug Report,High,Web Form
Magic link login not arriving,I'm very disappointed with the service. Our entire team uses SSO through Okta and it stopped working this morning. We can't access anything. Looking forward to a resolution.,Login Issue,High,Web Form
Cancel my annual plan,I'm writing to urgently request help. I'm submitting this on behalf of our company. Please cancel all seats on our organization account.,Subscription Cancellation,Medium,Web Form
Payment failed but I was still charged,I'd appreciate a quick response. I've been on hold for payment support for 40 minutes. This is beyond frustrating. Please fix the billing error. Thanks.,Payment Problem,Urgent,Email
Reimbursement request – billing error,I'm writing to urgently request help. I never received the product I paid for. Please issue a full refund as soon as possible. Regards.,Refund Request,Medium,Web Form
Data not loading correctly,I hope you can assist me quickly. Running a report always times out and crashes. I have only 200 records — it should not take that long. I expect to hear back within 24 hours.,Bug Report,High,Web Form
Transaction failed – money missing from account,I received no email confirmation after my payment went through. Can you resend the receipt?,Payment Problem,Medium,Email
Request: audit log for team accounts,I hope you can assist me quickly. Webhook support would let us push events from your platform to our systems in real time. Is this on your roadmap?,Feature Request,Low,Chat
